Course Code,Title,Units,Description,Prerequisites
STS 110,"— Computing, Data, & Law in the United States",(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Term Paper.Grade Mode:Letter.General Education:Social Sciences (SS); American Cultures, Governance, & History (ACGH); Writing Experience (WE).",
STS 111,— Science & Race,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:ANT 111.Grade Mode:Letter.General Education:Social Sciences (SS); American Cultures, Governance, & History (ACGH); Domestic Diversity (DD).",
STS 112,— Visualizing Society with Data,(4 units),"Learning Activities:Lecture/Lab 3 hour(s), Term Paper.Grade Mode:Letter.General Education:Social Sciences (SS); Domestic Diversity (DD); Quantitative Literacy (QL).",
STS 113,— Business & Technology in the United States: From Electricity to E-Commerce,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Term Paper.Grade Mode:Letter.General Education:Social Sciences (SS); American Cultures, Governance, & History (ACGH); Writing Experience (WE).",
STS 114,— The Global Information Age,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Term Paper.Grade Mode:Letter.General Education:Social Sciences (SS); World Cultures (WC); Writing Experience (WE).",
STS 115,— Data Sense & Exploration: Critical Storytelling with Analysis,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Discussion/Laboratory 1 hour(s).Grade Mode:Letter.General Education:Oral Skills (OL).",
STS 120,"— Religion, Magic & Science",(4 units),"Learning Activities:Lecture 3 hour(s), Extensive Writing.Cross Listing:RST 120.Grade Mode:Letter.General Education:Arts & Humanities (AH); Oral Skills (OL); Visual Literacy (VL); World Cultures (WC).",
STS 121,— Special Topics in Medical Anthropology,(4 units),Learning Activities:Lecture/Discussion 4 hour(s).Cross Listing:ANT 121.Grade Mode:Letter.General Education:Social Sciences (SS); World Cultures (WC); Writing Experience (WE).,ANT 002recommended.
STS 122,— Health & Medical Technologies,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Term Paper.Grade Mode:Letter.General Education:Social Sciences (SS); Domestic Diversity (DD).",
STS 129,— Health & Medicine in a Global Context,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Term Paper.Cross Listing:ANT 129.Grade Mode:Letter.General Education:Social Sciences (SS); World Cultures (WC); Writing Experience (WE).",ANT 002recommended.
STS 130A,— From Natural History to the History of Nature,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Term Paper.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Science & Engineering (SE); Writing Experience (WE).",HIS 135Arecommended.
STS 130B,— History of Modern Biology,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Term Paper.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Science & Engineering (SE); Writing Experience (WE).",STS 130Arecommended.
STS 131,— Darwin,(4 units),"Learning Activities:Lecture 3 hour(s), Term Paper.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Science & Engineering (SE); Writing Experience (WE).",Upper division standing or consent of instructor.
STS 136,— Scientific Revolution,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Term Paper.Cross Listing:HIS 136.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); World Cultures (WC).",
STS 150,— Gender & Science,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Term Paper.Grade Mode:Letter.General Education:Social Sciences (SS); American Cultures, Governance, & History (ACGH); Domestic Diversity (DD); Writing Experience (WE).",
STS 151,— Media Theory,(5 units),"Learning Activities:Lecture 2 hour(s), Discussion 1 hour(s), Film Viewing 3 hour(s), Extensive Writing.Cross Listing:CDM 151.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); Visual Literacy (VL); Writing Experience (WE).",CDM 002orCDM 003recommended.
STS 152,— Sounding Data: Critical Approaches to Sonification,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Term Paper/Discussion.Grade Mode:Letter.General Education:Social Sciences (SS); Writing Experience (WE).",
STS 160,— Ghosts of the Machine: How Technology Rewires our Senses,(4 units),"Learning Activities:Lecture 3 hour(s), Extensive Writing/Discussion 1 hour(s).Cross Listing:TCS 160.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); Visual Literacy (VL); Writing Experience (WE).",
STS 161,— Time: Mechanism & Measurement,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Term Paper.Grade Mode:Letter.General Education:Social Sciences (SS); Writing Experience (WE).",STS 001.
STS 162,— Surveillance Technologies & Social Media,(4 units),"Learning Activities:Lecture 3 hour(s), Film Viewing 3 hour(s), Term Paper.Cross Listing:CTS 162.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); American Cultures, Governance, & History (ACGH); Oral Skills (OL); Visual Literacy (VL); Writing Experience (WE).STS 162— Surveillance Media (4 units)Course Description:Surveillance technologies and media surveillance in daily life. Topics include CCTV, facial recognition, tracking systems, biosensors, data mining, encryption, and AI. Analysis of laws, security measures, and counter-surveillance practices.Prerequisite(s):.Learning Activities:Lecture 3 hour(s), Film Viewing 3 hour(s).Cross Listing:CDM 162.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); American Cultures, Governance, & History (ACGH); Oral Skills (OL); Visual Literacy (VL).This course version is effective from, and including:  Winter Quarter 2026.",STS 020 or TCS 001.
STS 163,— History of Communication Technologies,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Term Paper.Grade Mode:Letter.General Education:Social Sciences (SS); Writing Experience (WE).",
STS 164,— Writing Science,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Extensive Writing.Cross Listing:ENL 164.Grade Mode:Letter.General Education:Arts & Humanities (AH); Scientific Literacy (SL); Writing Experience (WE).",STS 001orENL 003orENL 003V; or equivalent.
STS 165,— Built Environments,(4 units),"Learning Activities:Lecture 3 hour(s), Extensive Writing.Grade Mode:Letter.General Education:Social Sciences (SS).",
STS 172,— Video Games & Culture,(4 units),"Learning Activities:Lecture 3 hour(s), Extensive Writing/Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have taken CTS 172 (former course CTS 172).Cross Listing:CDM 172,ENL 172.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); American Cultures, Governance, & History (ACGH); Visual Literacy (VL); Writing Experience (WE).",CDM 072orENL 072recommended.
STS 173,— Science Fiction,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Extensive Writing.Cross Listing:ENL 173.Grade Mode:Letter.General Education:Arts & Humanities (AH); Writing Experience (WE).",STS 001orENL 003orENL 003V; or equivalent.
STS 175,— Laboratory Studies Lab,(4 units),Learning Activities:Discussion/Laboratory 4 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS); Writing Experience (WE).,Upper division standing or consent of instructor.
STS 176,"— Sociology of Knowledge, Science, & Scientific Knowledge",(4 units),"Learning Activities:Lecture 3 hour(s), Term Paper/Discussion 1 hour(s).Cross Listing:SOC 176.Grade Mode:Letter.General Education:Social Sciences (SS).STS 176— Sociology of Science (4 units)Course Description:Social, cultural, and historical dimensions of science. Problems, methods, and theories in the sociology of scientific knowledge. Laboratories and field sites as social spaces. Scientific and technical knowledge in institutional and organizational contexts.Learning Activities:Lecture 3 hour(s), Term Paper/Discussion 1 hour(s).Cross Listing:SOC 176.Grade Mode:Letter.General Education:Science & Engineering (SE) or Social Sciences (SS); Scientific Literacy (SL).This course version is effective from, and including:  Winter Quarter 2026.","SOC 001,SOC 002, orSOC 003recommended."
STS 180,— Topics in Science & Technology Studies,(4 units),"Learning Activities:Term Paper, Seminar 3 hour(s).Repeat Credit:May be repeated when content varies.Grade Mode:Letter.General Education:Social Sciences (SS).",Course in Science  Technology Studies (STS) or other course-work relevant to topic.
STS 190,"— Seminar in Science, Technology & Medicine Studies",(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Term Paper.Repeat Credit:May be repeated.Grade Mode:Letter.",Open to junior and senior Science  Technology Studies majors only.
STS 192,— Internship,(1-12 units),Learning Activities:Internship 3-36 hour(s).Repeat Credit:May be repeated 3 time(s) up to 12 units.Grade Mode:Pass/No Pass only.,Consent of instructor.
STS 194A,— Research in Science & Technology Studies,(4 units),"Learning Activities:Independent Study, Extensive Writing, Tutorial 3 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",Consent of instructor; senior standing  faculty approval recommended.
STS 194B,— Advanced Research in Science & Technology Studies,(4 units),"Learning Activities:Term Paper, Tutorial 3 hour(s), Independent Study.Grade Mode:Letter.General Education:Social Sciences (SS).",STS 194A; consent of instructor; senior standing  faculty approval recommended.
STS 195,— Research in Data Studies,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Discussion/Laboratory 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",STS 101; or consent of instructor.
STS 198,— Directed Group Study,(1-5 units),Learning Activities:Variable.Grade Mode:Pass/No Pass only.,Consent of instructor.
STS 199,— Special Study for Advanced Undergraduates,(1-5 units),Learning Activities:Variable.Grade Mode:Pass/No Pass only.,Consent of instructor.
STS 200,— Theories & Methods in Science & Technology Studies,(4 units),"Learning Activities:Seminar 3 hour(s), Term Paper.Repeat Credit:May be repeated 1 time(s) with consent of instructor.Grade Mode:Letter.",
STS 205,— Contemporary Issues in Science & Technology Studies,(4 units),"Learning Activities:Discussion 3 hour(s), Term Paper.Repeat Credit:May be repeated when topic differs.Grade Mode:Letter.",
STS 210,— Digital Technologies: History & Theory,(4 units),"Learning Activities:Discussion 3 hour(s), Term Paper.Grade Mode:Letter.",
STS 250,— History & Philosophy of Science,(4 units),"Learning Activities:Seminar 3 hour(s), Term Paper.Repeat Credit:May be repeated with consent of instructor.Grade Mode:Letter.",Graduate standing or consent of instructor.
STS 298,— Group Study,(1-5 units),Learning Activities:Variable.Grade Mode:Satisfactory/Unsatisfactory only.,Consent of instructor.
STS 299,— Research,(1-12 units),Learning Activities:Variable.Grade Mode:Satisfactory/Unsatisfactory only.,Consent of instructor.
STS 396,— Teaching Assistant Training Practicum,(1-4 units),Learning Activities:Variable.Repeat Credit:May be repeated.Grade Mode:Pass/No Pass only.,Graduate standing.
